"filename", "language", "Markdown", "XML", "YAML", "Dart", "JSON", "Swift", "C++", "Groovy", "Properties", "comment", "blank", "total"
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 1, 45
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/app_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 15, 63
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/bloc/auth/auth_bloc.dart", "Dart", 0, 0, 0, 284, 0, 0, 0, 0, 0, 9, 32, 325
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/bloc/auth/auth_event.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 24, 67
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/bloc/auth/auth_state.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 44, 114
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/bloc/auth/profile_builder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/helpers/constants.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/helpers/enums.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/helpers/shared_prefs.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 7, 39
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/core/network/repository.dart", "Dart", 0, 0, 0, 239, 0, 0, 0, 0, 0, 155, 26, 420
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/generated_plugin_registrant.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 7, 5, 18
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/main.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 17, 5, 75
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/models/auth/check_is_user_exist.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/models/auth/check_nickName.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/models/auth/init_user.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 8, 27
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/models/auth/invite.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 8, 31
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/models/helpers/details.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/models/helpers/small_image.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/devbroseph/Desktop/DevAppBroseph/be_loved-1/lib/models/user/user.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 3, 12, 69
